# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-179.75471154149938,-90.0,0.8889942622335532,1.1248666526683204,0.0,0.0
 0.06220688667443043,0.007739393499450861,0.12441377334886086,2.0,-179.75471154149938,-90.71151561441336,0.8889942622335532,1.1248666526683204,0.0,0.0
 0.08825917874944368,0.015579365267052503,0.3009321308477483,6.775540401229654,-179.3579384399835,-91.4230312288267,0.8456247372708445,1.182557647529782,15.229873071183013,584.5886046160975
 0.10844174509805429,0.023519224159822764,0.3934018476949959,4.581662968426874,-178.97566558534498,-92.13454684324006,0.8048507059467407,1.242466450748411,18.94074559377441,183.86524580145172
 0.12561499377159566,0.031558253320476036,0.4681134777393002,4.350465742653086,-178.60723534574788,-92.84606245765342,0.7664869737676623,1.3046536134652176,21.45372996110967,146.331332825046
 0.1408824186995739,0.03969571179728411,0.5329948249423391,4.249658833045308,-178.2520276707594,-93.55757807206676,0.7303630963088255,1.369181993249508,23.265722717753963,118.68358712697737
 0.15480768076083784,0.04793083604509897,0.5913801989208236,4.192766622388804,-177.909457693975,-94.26909368648012,0.6963221255685953,1.4361169396756288,24.600612561349077,95.86102133821905
 0.16772423992574328,0.05626284131733661,0.6450638413731629,4.15618755482488,-177.5789734938718,-94.98060930089348,0.6642194632103221,1.505526494461296,25.586086502132517,76.2953916907678
 0.17984844030162128,0.06469092295785168,0.6951453604547294,4.130706976866489,-177.2600540036853,-95.69212491530683,0.633921812918803,1.577481606754691,26.30437309672169,59.24403856094805
 0.1913298952083053,0.07321425760084217,0.7423566710198521,4.111962373134292,-176.9522070614371,-96.40364052972018,0.6053062233875184,1.652056366451395,26.812537674907595,44.25959796175934
 0.20227704304519326,0.08183200428621393,0.7872138765069963,4.097615758507564,-176.65496759135237,-97.11515614413354,0.5782592151007038,1.7293282560587473,27.15222946776138,31.030164013054286
 0.2127713626139021,0.09054330549715321,0.83009681131819,4.0862996910308365,-176.3678959082762,-97.8266717585469,0.5526759839337101,1.8093784225658402,27.35495914686543,19.318039419013807
 0.22287584899011306,0.09934728812612735,0.87129442320803,4.077160417260952,-176.09057613698016,-98.53818737296024,0.5284596742025021,1.8922919738560922,27.445212054414675,8.931963900879499
 0.2326403494397723,0.10824306437491871,0.9110323968597701,4.069637136749472,-175.82261473872694,-99.2497029873736,0.5055207166655187,1.9781582970449398,27.44240728285993,-0.28724168422158214
 0.24210507284426905,0.11722973259385762,0.9494908445680821,4.063346181890547,-175.56363913773774,-99.96121860178695,0.48377622386636854,2.0670714075361953,27.362194321090996,-8.474939873131664
 0.25130298253799704,0.12630637806498565,0.9868161107645304,4.058016162291761,-175.3132964408089,-100.67273421620031,0.4631494394876892,2.159130325421846,27.217346686879452,-15.74788609963356
 0.260261477876996,0.13547207373343614,1.0231289208299899,4.053449680034906,-175.0712522434989,-101.38424983061365,0.44356923556223865,2.2544394872932676,27.018398531316052,-22.207764589363805
 0.2690036067518257,0.1447258808909818,1.058530169257644,4.049499719637086,-174.8371895169362,-102.09576544502701,0.4249696540457985,2.353109193750176,26.774110735956846,-27.94374217732685
 0.27754895947866026,0.154066849815374,1.0931051324609726,4.046054540821294,-174.61080756951833,-102.80728105944037,0.40728948839633206,2.455256097910642,26.49182013365101,-33.0344002558693
 0.28591434064136406,0.16349402036877192,1.1269266002400469,4.04302770205664,-174.39182107827097,-103.51879667385373,0.3904719015848195,2.5610037391711704,26.17770630986707,-37.549254203070085
 0.29411428268472833,0.17300642255830453,1.1600572466521808,4.0403512899148595,-174.17995918489623,-104.23031228826707,0.3744640771334866,2.670483127927719,25.836998878076987,-41.54998047404444
 0.3021614444808777,0.18260307706154102,1.1925514543312157,4.037971212978934,-173.9749646519701,-104.94182790268043,0.3592169004955361,2.78383338484495,25.474140836119545,-45.09143113427601
 0.3100669248077357,0.19228299571945198,1.2244567385772236,4.03584386107612,-173.77659307498251,-105.65334351709379,0.3446846675192358,2.9012024445334315,25.092918935440018,-48.22248426630876
 0.31784051189171614,0.20204518199917623,1.2558148733989005,4.0339336889013175,-173.58461214633198,-106.36485913150713,0.330824818366185,3.022747824478861,24.696568852515696,-50.98676822455766
 0.3254908842262661,0.21188863142879305,1.2866627922359637,4.03221143861854,-173.3988009675128,-107.07637474592049,0.31759769319838976,3.148637478847627,24.28786086397723,-53.42328068043099
 0.3330257737818913,0.22181233200605485,1.3170333160163208,4.030652812645921,-173.21894940616428,-107.78789036033385,0.3049663093557801,3.27905073223475,23.869170214217604,-55.5669259209045
 0.3404520998488238,0.23181526458294693,1.3469557472614275,4.029237468893745,-173.04485749480537,-108.4994059747472,0.2928961568127411,3.414179314887137,23.442535351912507,-57.448980621089426
 0.3477760797033928,0.24189640322772119,1.3764563591044303,4.027948250649415,-172.87633486826834,-109.21092158916056,0.28135501066943014,3.554228508746627,23.009706455148933,-59.09749963246547
 0.3550033208055993,0.2520547155660065,1.405558801017989,4.026770589495549,-172.71320023724743,-109.9224372035739,0.2703127594611759,3.699418414407577,22.57218608232994,-60.53767497605926
 0.36213889814709754,0.26228916310238776,1.4342844379053952,4.0256920376081125,-172.55528089528565,-110.63395281798726,0.25974124734106424,3.849985361342735,22.131263442890944,-61.79214635860368
